BASE	ESQUEMA	TABLA	FILAS	LINEAS	ESTADO
dwh	dwh	fct_activacion_2008_10	58084	58085	OK
dwh	dwh	fct_activacion_2008_11	66777	66778	OK
dwh	dwh	fct_activacion_2008_12	78571	78572	OK
dwh	dwh	fct_activacion_2009_01	57319	57320	OK
dwh	dwh	fct_activacion_2009_02	49211	49212	OK
dwh	dwh	fct_activacion_2009_03	42533	42534	OK
dwh	dwh	fct_activacion_2009_04	40530	40531	OK
dwh	dwh	fct_activacion_2009_05	40710	40711	OK
dwh	dwh	fct_activacion_2009_06	38313	38314	OK
dwh	dwh	fct_activacion_2009_07	40848	40849	OK
dwh	dwh	fct_activacion_2009_08	42013	42014	OK
dwh	dwh	fct_activacion_2009_09	38837	38838	OK
dwh	dwh	fct_activacion_2009_10	41306	41307	OK
dwh	dwh	fct_activacion_2009_11	36944	36945	OK
dwh	dwh	fct_activacion_2009_12	49041	49042	OK
dwh	dwh	fct_activacion_2010_01	43731	43732	OK
dwh	dwh	fct_activacion_2010_02	41482	41483	OK
dwh	dwh	fct_activacion_2010_03	48776	48777	OK
dwh	dwh	fct_activacion_2010_04	43294	43295	OK
dwh	dwh	fct_activacion_2010_05	46872	46873	OK
dwh	dwh	fct_activacion_2010_06	49593	49594	OK
dwh	dwh	fct_activacion_2010_07	59430	59431	OK
dwh	dwh	fct_activacion_2010_08	67889	67890	OK
dwh	dwh	fct_activacion_2010_09	64271	64272	OK
dwh	dwh	fct_activacion_2010_10	69506	69507	OK
dwh	dwh	fct_activacion_2010_11	70696	70697	OK
dwh	dwh	fct_activacion_2010_12	71921	71922	OK
dwh	dwh	fct_activacion_2011_01	64175	64176	OK
dwh	dwh	fct_activacion_2011_02	59048	59049	OK
dwh	dwh	fct_activacion_2011_03	64851	64852	OK
dwh	dwh	fct_activacion_2011_04	60296	60297	OK
dwh	dwh	fct_activacion_2011_05	60905	60906	OK
dwh	dwh	fct_activacion_2011_06	63636	63637	OK
dwh	dwh	fct_activacion_2011_07	71139	71140	OK
dwh	dwh	fct_activacion_2011_08	70454	70455	OK
dwh	dwh	fct_activacion_2011_09	67727	67728	OK
dwh	dwh	fct_activacion_2011_10	66454	66455	OK
dwh	dwh	fct_activacion_2011_11	61684	61685	OK
dwh	dwh	fct_activacion_2011_12	74498	74499	OK
dwh	dwh	fct_activacion_2012_01	63262	63263	OK
dwh	dwh	fct_activacion_2012_02	56316	56317	OK
dwh	dwh	fct_activacion_2012_03	58516	58517	OK
dwh	dwh	fct_activacion_2012_04	53942	53943	OK
dwh	dwh	fct_activacion_2012_05	60602	60603	OK
dwh	dwh	fct_activacion_2012_06	59619	59620	OK
dwh	dwh	fct_activacion_2012_07	64220	64221	OK
dwh	dwh	fct_activacion_2012_08	61028	61029	OK
dwh	dwh	fct_activacion_2012_09	54948	54949	OK
dwh	dwh	fct_activacion_2012_10	55943	55944	OK
dwh	dwh	fct_activacion_2012_11	55334	55335	OK
dwh	dwh	fct_activacion_2012_12	68225	68226	OK
dwh	dwh	fct_activacion_2013_01	65398	65399	OK
dwh	dwh	fct_activacion_2013_02	56589	56590	OK
dwh	dwh	fct_activacion_2013_03	69413	69414	OK
dwh	dwh	fct_activacion_2013_04	89060	89061	OK
dwh	dwh	fct_activacion_2013_05	60162	60163	OK
dwh	dwh	fct_activacion_2013_06	57022	57023	OK
dwh	dwh	fct_activacion_2013_07	67291	67292	OK
dwh	dwh	fct_activacion_2013_08	59644	59645	OK
dwh	dwh	fct_activacion_2013_09	56681	56682	OK
dwh	dwh	fct_activacion_2013_10	60583	60584	OK
dwh	dwh	fct_activacion_2013_11	56509	56510	OK
dwh	dwh	fct_activacion_2013_12	56334	56335	OK
dwh	dwh	fct_activacion_2014_01	51342	51343	OK
dwh	dwh	fct_activacion_2014_02	46965	46966	OK
dwh	dwh	fct_activacion_2014_03	52586	52587	OK
dwh	dwh	fct_activacion_2014_04	48714	48715	OK
dwh	dwh	fct_activacion_2014_05	48213	48214	OK
dwh	dwh	fct_activacion_2014_06	49907	49908	OK
dwh	dwh	fct_activacion_2014_07	67732	67733	OK
dwh	dwh	fct_activacion_2014_08	67670	67671	OK
dwh	dwh	fct_activacion_2014_09	64088	64089	OK
dwh	dwh	fct_activacion_2014_10	68380	68381	OK
dwh	dwh	fct_activacion_2014_11	63239	63240	OK
dwh	dwh	fct_activacion_2014_12	77244	77245	OK
dwh	dwh	fct_activacion_2015_01	71380	71381	OK
dwh	dwh	fct_activacion_2015_02	64981	64982	OK
dwh	dwh	fct_activacion_2015_03	70099	70100	OK
dwh	dwh	fct_activacion_2015_04	64685	64686	OK
dwh	dwh	fct_activacion_2015_05	68418	68419	OK
dwh	dwh	fct_activacion_2015_06	78013	78014	OK
dwh	dwh	fct_activacion_2015_07	70391	70392	OK
dwh	dwh	fct_activacion_2015_08	73011	73012	OK
dwh	dwh	fct_activacion_2015_09	68553	68554	OK
dwh	dwh	fct_activacion_2015_10	67248	67249	OK
dwh	dwh	fct_activacion_2015_11	62707	62708	OK
dwh	dwh	fct_activacion_2015_12	77609	77610	OK
dwh	dwh	fct_activacion_2016_01	65516	65517	OK
dwh	dwh	fct_activacion_2016_02	61800	61801	OK
dwh	dwh	fct_activacion_2016_03	69718	69719	OK
dwh	dwh	fct_activacion_2016_04	62791	62792	OK
dwh	dwh	fct_activacion_2016_05	61530	61531	OK
dwh	dwh	fct_activacion_2016_06	60361	60362	OK
dwh	dwh	fct_activacion_2016_07	60006	60007	OK
dwh	dwh	fct_activacion_2016_08	62441	62442	OK
dwh	dwh	fct_activacion_2016_09	55619	55620	OK
dwh	dwh	fct_activacion_2016_10	0	1	OK
dwh	dwh	fct_activacion_2016_11	0	1	OK
dwh	dwh	fct_activacion_2016_12	0	1	OK
dwh	dwh	fct_activacion_2017_01	69074	69075	OK
dwh	dwh	fct_activacion_2017_02	58014	58015	OK
dwh	dwh	fct_activacion_2017_03	61225	61226	OK
dwh	dwh	fct_activacion_2017_04	55672	55673	OK
dwh	dwh	fct_activacion_2017_05	60374	60375	OK
dwh	dwh	fct_activacion_2017_06	62821	62822	OK
dwh	dwh	fct_activacion_2017_07	69583	69584	OK
dwh	dwh	fct_activacion_2017_08	66492	66493	OK
dwh	dwh	fct_activacion_2017_09	62128	62129	OK
dwh	dwh	fct_activacion_2017_10	66812	66813	OK
dwh	dwh	fct_activacion_2017_11	65505	65506	OK
dwh	dwh	fct_activacion_2017_12	80553	80554	OK
dwh	dwh	fct_activacion_2018_01	75705	75706	OK
dwh	dwh	fct_activacion_2018_02	65299	65300	OK
dwh	dwh	fct_activacion_2018_03	65880	65881	OK
dwh	dwh	fct_activacion_2018_04	65072	65073	OK
dwh	dwh	fct_activacion_2018_05	63572	63573	OK
dwh	dwh	fct_activacion_2018_06	60564	60565	OK
dwh	dwh	fct_activacion_2018_07	68744	68745	OK
dwh	dwh	fct_activacion_2018_08	68165	68166	OK
dwh	dwh	fct_activacion_2018_09	63838	63839	OK
dwh	dwh	fct_activacion_2018_10	73135	73136	OK
dwh	dwh	fct_activacion_2018_11	66180	66181	OK
dwh	dwh	fct_activacion_2018_12	86486	86487	OK
dwh	dwh	fct_anulacion_baja	0	1	OK
dwh	dwh	fct_anulacion_baja_2004_12	43	44	OK
dwh	dwh	fct_anulacion_baja_2005_01	22	23	OK
dwh	dwh	fct_anulacion_baja_2005_02	26	27	OK
dwh	dwh	fct_anulacion_baja_2005_03	96	97	OK
dwh	dwh	fct_anulacion_baja_2005_04	88	89	OK
dwh	dwh	fct_anulacion_baja_2005_05	192	193	OK
dwh	dwh	fct_anulacion_baja_2005_06	146	147	OK
dwh	dwh	fct_anulacion_baja_2005_07	480	481	OK
dwh	dwh	fct_anulacion_baja_2005_08	322	323	OK
dwh	dwh	fct_anulacion_baja_2005_09	242	243	OK
dwh	dwh	fct_anulacion_baja_2005_10	550	551	OK
dwh	dwh	fct_anulacion_baja_2005_11	416	417	OK
dwh	dwh	fct_anulacion_baja_2005_12	258	259	OK
dwh	dwh	fct_anulacion_baja_2006_01	466	467	OK
dwh	dwh	fct_anulacion_baja_2006_02	466	467	OK
dwh	dwh	fct_anulacion_baja_2006_03	106	107	OK
dwh	dwh	fct_anulacion_baja_2006_04	100	101	OK
dwh	dwh	fct_anulacion_baja_2006_05	126	127	OK
dwh	dwh	fct_anulacion_baja_2006_06	448	449	OK
dwh	dwh	fct_anulacion_baja_2006_07	360	361	OK
dwh	dwh	fct_anulacion_baja_2006_08	242	243	OK
dwh	dwh	fct_anulacion_baja_2006_09	364	365	OK
